KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
Eden_ProbeSystemT3,Advanced System Survey Probe,,,,,,,,Усовершенствованный зонд для исследования системы,,,,,,,,
Eden_ProbeSystemT3info,A survey probe containing advanced sensors and subspace transmitters.\nUsed only for missions or can be sold to UCH Research Vessels.\nOne use only.,,,,,,,,"Обзорный зонд, содержащий усовершенствованные датчики и подпространственные передатчики.\nИспользуется только для миссий или может быть продан исследовательским судам UCH.\nТолько одно использование.",,,,,,,,
Eden_ProbeSystemT4,High-Tech System Survey Probe,,,,,,,,Зонд для исследования высокотехнологичных систем,,,,,,,,
Eden_ProbeSystemT4info,A survey probe containing highly sophisticated scientific instruments and long range subspace antenna.\nUsed only for missions or can be sold to UCH Research Vessels.\nOne use only.,,,,,,,,"Обзорный зонд, содержащий сложнейшие научные инструменты и подпространственную антенну дальнего действия.\nИспользуется только для миссий или может быть продан исследовательским судам UCH.\nТолько одно использование.",,,,,,,,
Eden_RepairKitLifeSupport,Life Support Repair Kit,,,,,,,,Ремкомплект жизнеобеспечения,,,,,,,,
Eden_RepairKitLifeSupportinfo,A kit containing everything needed for a damaged ship to repair vital systems. \nOne use only.\n\nTurn in to captains of damaged vessels or sell to traders.,,,,,,,,"Комплект, содержащий все необходимое поврежденному кораблю для ремонта жизненно важных систем. \nТолько одно использование.\n\nСдайте капитанам поврежденных судов или продайте торговцам.",,,,,,,,
Eden_RepairKitPropulsion,Propulsion Repair Kit,,,,,,,,Ремкомплект силовой установки,,,,,,,,
Eden_RepairKitWarp,Warp Drive Repair Kit,,,,,,,,Ремкомплект варп-двигателя,,,,,,,,
Eden_RepairKitSensors,Sensors Repair Kit,,,,,,,,Ремкомплект датчиков,,,,,,,,
Eden_RepairKitWeapons,Weapon Repair Kit,,,,,,,,Ремонтный комплект оружия,,,,,,,,
Eden_TradeColT1,Sealed Courier Package [c][4CA5FF](Colonists)[-][/c],,,,,,,,Запечатанный курьерский пакет [c][4CA5FF](Колонисты)[-][/c],,,,,,,,
Eden_TradeColT1info,[c][FFFFFF][b]Faction:[-][/c][/b] [c][4CA5FF]Colonists[-][/c]\n[c][FFFFFF][b]Destination:[-][/c][/b] Distribution Center\n\nA sealed container marked for delivery to a specific recipient.\nObtained from Trade Federation Distribution Headquarters.\nTake to an orbital Distribution Center of the recipient faction found within a Trading Station sector inside their galactic territory.,,,,,,,,"[c][FFFFFF][b]Фракция:[-][/c][/b] [c][4CA5FF]Колонисты[-][/c]\n[c][FFFFFF][b]Пункт назначения:[-][/c][/b] Распределительный центр\n\nЗапечатанный контейнер с пометкой для доставки конкретному получателю.\nПолучено из штаб-квартиры Торговой федерации.\nОтправляйтесь в орбитальный распределительный центр фракции-получателя, расположенный в секторе торговой станции на их галактической территории.",,,,,,,,
Eden_TradeColT2,Sealed Rush Courier Package [c][4CA5FF](Colonists)[-][/c],,,,,,,,Запечатанный срочный курьерский пакет [c][4CA5FF](Колонисты)[-][/c],,,,,,,,
Eden_TradeColT2info,[c][FFFFFF][b]Faction:[-][/c][/b] [c][4CA5FF]Colonists[-][/c]\n[c][FFFFFF][b]Destination:[-][/c][/b] Distribution Center\n\nA sealed container marked for delivery to a specific recipient.\nObtained from Trade Federation Distribution Headquarters.\nTake to an orbital Distribution Center of the recipient faction found within a Trading Station sector inside their galactic territory.\n\n[c][FF0000]The delivery window for this package is limited. It will be converted into a standard package if you do not deliver it before the perish timer runs out.[-][/c],,,,,,,,"[c][FFFFFF][b]Фракция:[-][/c][/b] [c][4CA5FF]Колонисты[-][/c]\n[c][FFFFFF][b]Пункт назначения:[-][/c][/b] Распределительный центр\n\nЗапечатанный контейнер с пометкой для доставки конкретному получателю.\nПолучено из штаб-квартиры Торговой федерации.\nОтправляйтесь в орбитальный распределительный центр фракции-получателя, расположенный в секторе торговой станции на их галактической территории.\n\n[c][FF0000]Срок доставки этого пакета ограничен. Он будет преобразован в стандартную посылку, если вы не доставите его до истечения таймера гибели.[-][/c]",,,,,,,,
Eden_TradeColT3,Large Sealed Package [c][4CA5FF](Colonists)[-][/c],,,,,,,,Большой герметичный пакет [c][4CA5FF](Колонисты)[-][/c],,,,,,,,
Eden_TradeColT3info,[c][FFFFFF][b]Faction:[-][/c][/b] [c][4CA5FF]Colonists[-][/c]\n[c][FFFFFF][b]Required reputation:[-][/c][/b] Honored\n[c][FFFFFF][b]Destination:[-][/c][/b] Distribution Center\n[c][FFFFFF][b]Collateral:[-][/c][/b] 200000\n[c][FFFFFF][b]Payment:[-][/c][/b] 20% of collateral\n\nA sealed container marked for delivery to a specific recipient. Purchase this item for its collateral and then deliver to a distribution center in a trading station sector in the recipient faction's territory for a return of your collateral plus an additional payment.\n\nUse your connected toolbar to buy or sell this package.,,,,,,,,"[c][FFFFFF][b]Фракция:[-][/c][/b] [c][4CA5FF]Колонисты[-][/c]\n[c][FFFFFF][b]Требуемая репутация:[-][/c][/b] заслуженный\n[c][FFFFFF][b]Пункт назначения:[-][/c][/b] Распределительный центр\n[c][FFFFFF][b]Залог:[-][/c][/b] 200000\n[c][FFFFFF][b]Оплата:[-][/c][/b] 20% залога\n\nЗапечатанный контейнер с пометкой для доставки конкретному получателю. Купите этот предмет в качестве залога, а затем доставьте его в распределительный центр в секторе торговой станции на территории фракции-получателя для возврата залога и дополнительной оплаты.\n\nИспользуйте подключенную панель инструментов, чтобы купить или продать этот пакет.",,,,,,,,
Eden_TradePolarisT1,Sealed Courier Package [c][E59933](Polaris)[-][/c],,,,,,,,Запечатанный курьерский пакет [c][E59933](Полярис)[-][/c],,,,,,,,
Eden_TradePolarisT1info,[c][FFFFFF][b]Faction:[-][/c][/b] [c][E59933]Polaris[-][/c]\n[c][FFFFFF][b]Destination:[-][/c][/b] Distribution Center\n\nA sealed container marked for delivery to a specific recipient.\nObtained from Trade Federation Distribution Headquarters.\nTake to an orbital Distribution Center of the recipient faction found within a Trading Station sector inside their galactic territory.,,,,,,,,"[c][FFFFFF][b]Фракция:[-][/c][/b] [c][E59933]Полярис[-][/c]\n[c][FFFFFF][b]Пункт назначения:[-][/c][/b] Распределительный центр\n\nЗапечатанный контейнер с пометкой для доставки конкретному получателю.\nПолучено из штаб-квартиры Торговой федерации.\nОтправляйтесь в орбитальный распределительный центр фракции-получателя, расположенный в секторе торговой станции на их галактической территории.",,,,,,,,
Eden_TradePolarisT2,Sealed Rush Courier Package [c][E59933](Polaris)[-][/c],,,,,,,,Запечатанный срочный курьерский пакет [c][E59933](Полярис)[-][/c],,,,,,,,
Eden_TradePolarisT2info,[c][FFFFFF][b]Faction:[-][/c][/b] [c][E59933]Polaris[-][/c]\n[c][FFFFFF][b]Destination:[-][/c][/b] Distribution Center\n\nA sealed container marked for delivery to a specific recipient.\nObtained from Trade Federation Distribution Headquarters.\nTake to an orbital Distribution Center of the recipient faction found within a Trading Station sector inside their galactic territory.\n\n[c][FF0000]The delivery window for this package is limited. It will be converted into a standard package if you do not deliver it before the perish timer runs out.[-][/c],,,,,,,,"[c][FFFFFF][b]Фракция:[-][/c][/b] [c][E59933]Полярис[-][/c]\n[c][FFFFFF][b]Пункт назначения:[-][/c][/b] Распределительный центр\n\nЗапечатанный контейнер с пометкой для доставки конкретному получателю.\nПолучено из штаб-квартиры Торговой федерации.\nОтправляйтесь в орбитальный распределительный центр фракции-получателя, расположенный в секторе торговой станции на их галактической территории.\n\n[c][FF0000]Срок доставки этого пакета ограничен. Он будет преобразован в стандартную посылку, если вы не доставите его до истечения таймера гибели.[-][/c]",,,,,,,,
Eden_TradePolarisT3,Large Sealed Package [c][E59933](Polaris)[-][/c],,,,,,,,Большой герметичный пакет [c][E59933](Полярис)[-][/c],,,,,,,,
Eden_TradePolarisT3info,[c][FFFFFF][b]Faction:[-][/c][/b] [c][E59933]Polaris[-][/c]\n[c][FFFFFF][b]Required reputation:[-][/c][/b] Honored\n[c][FFFFFF][b]Destination:[-][/c][/b] Distribution Center\n[c][FFFFFF][b]Collateral:[-][/c][/b] 200000\n[c][FFFFFF][b]Payment:[-][/c][/b] 20% of collateral\n\nA sealed container marked for delivery to a specific recipient. Purchase this item for its collateral and then deliver to a distribution center in a trading station sector in the recipient faction's territory for a return of your collateral plus an additional payment.\n\nUse your connected toolbar to buy or sell this package.,,,,,,,,"[c][FFFFFF][b]Фракция:[-][/c][/b] [c][E59933]Полярис[-][/c]\n[c][FFFFFF][b]Требуемая репутация:[-][/c][/b] заслуженный\n[c][FFFFFF][b]Пункт назначения:[-][/c][/b] Распределительный центр\n[c][FFFFFF][b]Залог:[-][/c][/b] 200000\n[c][FFFFFF][b]Оплата:[-][/c][/b] 20% залога\n\nЗапечатанный контейнер с пометкой для доставки конкретному получателю. Купите этот предмет в качестве залога, а затем доставьте его в распределительный центр в секторе торговой станции на территории фракции-получателя для возврата залога и дополнительной оплаты.\n\nИспользуйте подключенную панель инструментов, чтобы купить или продать этот пакет.",,,,,,,,
Eden_TradeZiraxT1,Sealed Courier Package [c][FF0000](Zirax)[-][/c],,,,,,,,Запечатанный курьерский пакет [c][FF0000](Зиракс)[-][/c],,,,,,,,
Eden_TradeZiraxT1info,[c][FFFFFF][b]Faction:[-][/c][/b] [c][FF0000]Zirax[-][/c]\n[c][FFFFFF][b]Destination:[-][/c][/b] Distribution Center\n\nA sealed container marked for delivery to a specific recipient.\nObtained from Trade Federation Distribution Headquarters.\nTake to an orbital Distribution Center of the recipient faction found within a Trading Station sector inside their galactic territory.,,,,,,,,"[c][FFFFFF][b]Фракция:[-][/c][/b] [c][FF0000]Зиракс[-][/c]\n[c][FFFFFF][b]Пункт назначения:[-][/c][/b] Распределительный центр\n\nЗапечатанный контейнер с пометкой для доставки конкретному получателю.\nПолучено из штаб-квартиры Торговой федерации.\nОтправляйтесь в орбитальный распределительный центр фракции-получателя, расположенный в секторе торговой станции на их галактической территории.",,,,,,,,
Eden_TradeZiraxT2,Sealed Rush Courier Package [c][FF0000](Zirax)[-][/c],,,,,,,,Запечатанный срочный курьерский пакет [c][FF0000](Зиракс)[-][/c],,,,,,,,
Eden_TradeZiraxT2info,[c][FFFFFF][b]Faction:[-][/c][/b] [c][FF0000]Zirax[-][/c]\n[c][FFFFFF][b]Destination:[-][/c][/b] Distribution Center\n\nA sealed container marked for delivery to a specific recipient.\nObtained from Trade Federation Distribution Headquarters.\nTake to an orbital Distribution Center of the recipient faction found within a Trading Station sector inside their galactic territory.\n\n[c][FF0000]The delivery window for this package is limited. It will be converted into a standard package if you do not deliver it before the perish timer runs out.[-][/c],,,,,,,,"[c][FFFFFF][b]Фракция:[-][/c][/b] [c][FF0000]Зиракс[-][/c]\n[c][FFFFFF][b]Пункт назначения:[-][/c][/b] Распределительный центр\n\nЗапечатанный контейнер с пометкой для доставки конкретному получателю.\nПолучено из штаб-квартиры Торговой федерации.\nОтправляйтесь в орбитальный распределительный центр фракции-получателя, расположенный в секторе торговой станции на их галактической территории.\n\n[c][FF0000]Срок доставки этого пакета ограничен. Он будет преобразован в стандартную посылку, если вы не доставите его до истечения таймера гибели.[-][/c]",,,,,,,,
Eden_TradeZiraxT3,Large Sealed Package [c][FF0000](Zirax)[-][/c],,,,,,,,Большой герметичный пакет [c][FF0000](Зиракс)[-][/c],,,,,,,,
Eden_TradeZiraxT3info,[c][FFFFFF][b]Faction:[-][/c][/b] [c][FF0000]Zirax[-][/c]\n[c][FFFFFF][b]Required reputation:[-][/c][/b] Honored\n[c][FFFFFF][b]Destination:[-][/c][/b] Distribution Center\n[c][FFFFFF][b]Collateral:[-][/c][/b] 200000\n[c][FFFFFF][b]Payment:[-][/c][/b] 25% of collateral\n\nA sealed container marked for delivery to a specific recipient. Purchase this item for its collateral and then deliver to a distribution center in a trading station sector in the recipient faction's territory for a return of your collateral plus an additional payment.\n\nUse your connected toolbar to buy or sell this package.,,,,,,,,"[c][FFFFFF][b]Фракция:[-][/c][/b] [c][FF0000]Зиракс[-][/c]\n[c][FFFFFF][b]Требуемая репутация:[-][/c][/b] заслуженный\n[c][FFFFFF][b]Пункт назначения:[-][/c][/b] Распределительный центр\n[c][FFFFFF][b]Залог:[-][/c][/b] 200000\n[c][FFFFFF][b]Оплата:[-][/c][/b] 25% залога\n\nЗапечатанный контейнер с пометкой для доставки конкретному получателю. Купите этот предмет в качестве залога, а затем доставьте его в распределительный центр в секторе торговой станции на территории фракции-получателя для возврата залога и дополнительной оплаты.\n\nИспользуйте подключенную панель инструментов, чтобы купить или продать этот пакет.",,,,,,,,
Eden_TradePiratesT1,Sealed Courier Package [c][FFFF00](Pirates)[-][/c],,,,,,,,Запечатанный курьерский пакет [c][FFFF00](Пираты)[-][/c],,,,,,,,
Eden_TradePiratesT1info,[c][FFFFFF][b]Faction:[-][/c][/b] [c][FFFF00]Pirates[-][/c]\n[c][FFFFFF][b]Destination:[-][/c][/b] Distribution Center\n\nA sealed container marked for delivery to a specific recipient.\nObtained from Trade Federation Distribution Headquarters.\nTake to an orbital Distribution Center of the recipient faction found within a Trading Station sector inside their galactic territory.,,,,,,,,"[c][FFFFFF][b]Фракция:[-][/c][/b] [c][FFFF00]Пираты[-][/c]\n[c][FFFFFF][b]Пункт назначения:[-][/c][/b] Распределительный центр\n\nЗапечатанный контейнер с пометкой для доставки конкретному получателю.\nПолучено из штаб-квартиры Торговой федерации.\nОтправляйтесь в орбитальный распределительный центр фракции-получателя, расположенный в секторе торговой станции на их галактической территории.",,,,,,,,
Eden_TradePiratesT2,Sealed Rush Courier Package [c][FFFF00](Pirates)[-][/c],,,,,,,,Запечатанный срочный курьерский пакет [c][FFFF00](Пираты)[-][/c],,,,,,,,
Eden_TradePiratesT2info,[c][FFFFFF][b]Faction:[-][/c][/b] [c][FFFF00]Pirates[-][/c]\n[c][FFFFFF][b]Destination:[-][/c][/b] Distribution Center\n\nA sealed container marked for delivery to a specific recipient.\nObtained from Trade Federation Distribution Headquarters.\nTake to an orbital Distribution Center of the recipient faction found within a Trading Station sector inside their galactic territory.\n\n[c][FF0000]The delivery window for this package is limited. It will be converted into a standard package if you do not deliver it before the perish timer runs out.[-][/c],,,,,,,,"[c][FFFFFF][b]Фракция:[-][/c][/b] [c][FFFF00]Пираты[-][/c]\n[c][FFFFFF][b]Пункт назначения:[-][/c][/b] Распределительный центр\n\nЗапечатанный контейнер с пометкой для доставки конкретному получателю.\nПолучено из штаб-квартиры Торговой федерации.\nОтправляйтесь в орбитальный распределительный центр фракции-получателя, расположенный в секторе торговой станции на их галактической территории.\n\n[c][FF0000]Срок доставки этого пакета ограничен. Он будет преобразован в стандартную посылку, если вы не доставите его до истечения таймера гибели.[-][/c]",,,,,,,,
Eden_TradePiratesT3,Large Sealed Package [c][FFFF00](Pirates)[-][/c],,,,,,,,Большой герметичный пакет [c][FFFF00](Пираты)[-][/c],,,,,,,,
Eden_TradePiratesT3info,[c][FFFFFF][b]Faction:[-][/c][/b] [c][FFFF00]Pirates[-][/c]\n[c][FFFFFF][b]Required reputation:[-][/c][/b] Honored\n[c][FFFFFF][b]Destination:[-][/c][/b] Distribution Center\n[c][FFFFFF][b]Collateral:[-][/c][/b] 200000\n[c][FFFFFF][b]Payment:[-][/c][/b] 25% of collateral\n\nA sealed container marked for delivery to a specific recipient. Purchase this item for its collateral and then deliver to a distribution center in a trading station sector in the recipient faction's territory for a return of your collateral plus an additional payment.\n\nUse your connected toolbar to buy or sell this package.,,,,,,,,"[c][FFFFFF][b]Фракция:[-][/c][/b] [c][FFFF00]Пираты[-][/c]\n[c][FFFFFF][b]Требуемая репутация:[-][/c][/b] заслуженный\n[c][FFFFFF][b]Пункт назначения:[-][/c][/b] Распределительный центр\n[c][FFFFFF][b]Залог:[-][/c][/b] 200000\n[c][FFFFFF][b]Оплата:[-][/c][/b] 25% залога\n\nЗапечатанный контейнер с пометкой для доставки конкретному получателю. Купите этот предмет в качестве залога, а затем доставьте его в распределительный центр в секторе торговой станции на территории фракции-получателя для возврата залога и дополнительной оплаты.\n\nИспользуйте подключенную панель инструментов, чтобы купить или продать этот пакет.",,,,,,,,
Eden_SurveyExploreT1,Exploration Report Tier 1,,,,,,,,"Отчет о геологоразведочных работах, уровень 1",,,,,,,,
Eden_SurveyExploreT1info,"A survey report on various spacial anomalies, wrecks, or other objects of interest. UCH Research Vessels may be interested in this.",,,,,,,,"Отчет об исследовании различных пространственных аномалий, затонувших кораблей или других объектов, представляющих интерес. В этом могут быть заинтересованы исследовательские суда UCH.",,,,,,,,
Eden_SurveyExploreT2,Exploration Report Tier 2,,,,,,,,"Отчет о разведке, уровень 2",,,,,,,,
Eden_SurveyExploreT3,Exploration Report Tier 3,,,,,,,,"Отчет об геологоразведке, уровень 3",,,,,,,,
Eden_UndeliveredCargoInfo,A sealed container filled with cargo.\n\n[c][ffffff]Take this lost cargo to the Galactic Information Network Terminal on any primary Trade Station for a reward![-][/c],,,,,,,,"Герметичный контейнер, наполненный грузом.\n\n[c][ffffff]Отнесите этот потерянный груз в терминал галактической информационной сети на любой основной торговой станции и получите награду![-][/c]",,,,,,,,
Eden_EncryptedSchematicinfo,An encrypted schematic.\nDecode it to obtain a random schematic by using a schematic computer on board a UCH Research Vessel or your science station.,,,,,,,,"Зашифрованная схема.\nРасшифруйте его, чтобы получить случайную схему, используя схематический компьютер на борту исследовательского судна UCH или вашей научной станции.",,,,,,,,
Eden_WeaponModPirateinfo,A random weapon modification of Pirate origin.,,,,,,,,Случайная модификация оружия пиратского происхождения.,,,,,,,,
Eden_MiningContractSealed_Info,A mining contract that has been sealed. Place in your personal inventory and access a science station to unseal the contract under the Reward Caches option.,,,,,,,,"Заключенный контракт на добычу полезных ископаемых. Поместите его в свой личный инвентарь и получите доступ к научной станции, чтобы распечатать контракт в разделе «Тайники с наградами».",,,,,,,,
Eden_MiningContractColGraphite_Info,"\n[c][FFFFFF][b]REQUIRED ORE:[/b][-][/c]\n12,000 Graphite\n\n[c][FFFFFF][b]REWARD:[/b][-][/c]\n$375,000\n\n[c][FFFFFF][b]CLIENT:[/b][-][/c]\n[c][4CA5FF]Free Colonists[-][/c]\n[c][FFFFFF][u]                                                         [/u][-][/c]\n\nBring this contract along with the required ore to any Polaris Orbital Refinery or a main faction Orbital Distribution Center.\nUIM will deliver to the client.\n\nThe contract must be in your personal inventory and the ore placed in a marked drop-off container to complete the contract.\n\n[i][c][A9A9A9][sup][b]ADDITIONAL INFORMATION:[/b]\nA loose coalition of colonists are looking to mass produce habitat modules for use in planetary colonization projects along the galactic rim.\nThe client is willing to pay a premium for delivery of the needed graphite.[-][/c][/sup]",,,,,,,,"\n[c][FFFFFF][b]ТРЕБУЕМАЯ РУДА:[/b][-][/c]\n12 000 графита\n\n[c][FFFFFF][b]НАГРАДА:[/b][-][/c]\n$375,000\n\n[c][FFFFFF][b]КЛИЕНТ:[/b][-][/c]\n[c][4CA5FF]Свободные колонисты[-][/c]\n[c][FFFFFF][u]                                                         [/u][-][/c]\n\nОтнесите этот контракт вместе с необходимой рудой на любой орбитальный нефтеперерабатывающий завод Полярис или в орбитальный распределительный центр основной фракции.\nUIM доставит клиенту.\n\nДля выполнения контракта контракт должен находиться в вашем личном инвентаре, а руда должна быть помещена в отмеченный контейнер для сброса.\n\n[i][c][A9A9A9][sup][b]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ:[/b]\nСвободная коалиция колонистов стремится к массовому производству модулей среды обитания для использования в проектах планетарной колонизации вдоль галактического края.\nКлиент готов заплатить премию за доставку необходимого графита.[-][/c][/sup]",,,,,,,,
Eden_MiningContractColIron_Info,"\n[c][FFFFFF][b]REQUIRED ORE:[/b][-][/c]\n16,000 Iron Ore\n\n[c][FFFFFF][b]REWARD:[/b][-][/c]\n$800,000\n\n[c][FFFFFF][b]CLIENT:[/b][-][/c]\n[c][4CA5FF]Free Colonists[-][/c]\n[c][FFFFFF][u]                                                         [/u][-][/c]\n\nBring this contract along with the required ore to any Polaris Orbital Refinery or a main faction Orbital Distribution Center.\nUIM will deliver to the client.\n\nThe contract must be in your personal inventory and the ore placed in a marked drop-off container to complete the contract.\n\n[i][c][A9A9A9][sup][b]ADDITIONAL INFORMATION:[/b]\nAn independent shipyard has put in a large order for iron to construct a new fleet of freighters.[-][/c][/sup]",,,,,,,,"\n[c][FFFFFF][b]ТРЕБУЕМАЯ РУДА:[/b][-][/c]\n16 000 железной руды\n\n[c][FFFFFF][b]НАГРАДА:[/b][-][/c]\n$800,000\n\n[c][FFFFFF][b]КЛИЕНТ:[/b][-][/c]\n[c][4CA5FF]Свободные колонисты[-][/c]\n[c][FFFFFF][u]                                                         [/u][-][/c]\n\nОтнесите этот контракт вместе с необходимой рудой на любой орбитальный нефтеперерабатывающий завод Полярис или в орбитальный распределительный центр основной фракции.\nUIM доставит клиенту.\n\nДля выполнения контракта контракт должен находиться в вашем личном инвентаре, а руда должна быть помещена в отмеченный контейнер для сброса.\n\n[i][c][A9A9A9][sup][b]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ:[/b]\nНезависимая верфь разместила крупный заказ на железо для строительства нового флота грузовых судов.[-][/c][/sup]",,,,,,,,
Eden_MiningContractColSilicon_Info,"\n[c][FFFFFF][b]REQUIRED ORE:[/b][-][/c]\n12,000 Silicon Ore\n\n[c][FFFFFF][b]REWARD:[/b][-][/c]\n$750,000\n\n[c][FFFFFF][b]CLIENT:[/b][-][/c]\n[c][4CA5FF]Free Colonists[-][/c]\n[c][FFFFFF][u]                                                         [/u][-][/c]\n\nBring this contract along with the required ore to any Polaris Orbital Refinery or a main faction Orbital Distribution Center.\nUIM will deliver to the client.\n\nThe contract must be in your personal inventory and the ore placed in a marked drop-off container to complete the contract.\n\n[i][c][A9A9A9][sup][b]ADDITIONAL INFORMATION:[/b]\nA client is looking to construct greenhouses on barren moons to support new colonization efforts and requires a significant amount of silicon.[-][/c][/sup]",,,,,,,,"\n[c][FFFFFF][b]ТРЕБУЕМАЯ РУДА:[/b][-][/c]\n12 000 кремниевой руды\n\n[c][FFFFFF][b]НАГРАДА:[/b][-][/c]\n$750,000\n\n[c][FFFFFF][b]КЛИЕНТ:[/b][-][/c]\n[c][4CA5FF]Свободные колонисты[-][/c]\n[c][FFFFFF][u]                                                         [/u][-][/c]\n\nОтнесите этот контракт вместе с необходимой рудой на любой орбитальный нефтеперерабатывающий завод Полярис или в орбитальный распределительный центр основной фракции.\nUIM доставит клиенту.\n\nДля выполнения контракта контракт должен находиться в вашем личном инвентаре, а руда должна быть помещена в отмеченный контейнер для сброса.\n\n[i][c][A9A9A9][sup][b]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ:[/b]\nКлиент хочет построить теплицы на бесплодных лунах для поддержки новых усилий по колонизации, и ему требуется значительное количество кремния.[-][/c][/sup]",,,,,,,,
Eden_MiningContractColCopper_Info,"\n[c][FFFFFF][b]REQUIRED ORE:[/b][-][/c]\n12,000 Copper Ore\n\n[c][FFFFFF][b]REWARD:[/b][-][/c]\n$900,000\n\n[c][FFFFFF][b]CLIENT:[/b][-][/c]\n[c][4CA5FF]Free Colonists[-][/c]\n[c][FFFFFF][u]                                                         [/u][-][/c]\n\nBring this contract along with the required ore to any Polaris Orbital Refinery or a main faction Orbital Distribution Center.\nUIM will deliver to the client.\n\nThe contract must be in your personal inventory and the ore placed in a marked drop-off container to complete the contract.\n\n[i][c][A9A9A9][sup][b]ADDITIONAL INFORMATION:[/b]\nA colony has put in an order for copper after suffering a natural disaster that caused significant damage.\nThe copper will be needed to repair the colony's electrical distribution network.[-][/c][/sup]",,,,,,,,"\n[c][FFFFFF][b]ТРЕБУЕМАЯ РУДА:[/b][-][/c]\n12 000 медной руды\n\n[c][FFFFFF][b]НАГРАДА:[/b][-][/c]\n$900,000\n\n[c][FFFFFF][b]КЛИЕНТ:[/b][-][/c]\n[c][4CA5FF]Свободные колонисты[-][/c]\n[c][FFFFFF][u]                                                         [/u][-][/c]\n\nОтнесите этот контракт вместе с необходимой рудой на любой орбитальный нефтеперерабатывающий завод Полярис или в орбитальный распределительный центр основной фракции.\nUIM доставит клиенту.\n\nДля выполнения контракта контракт должен находиться в вашем личном инвентаре, а руда должна быть помещена в отмеченный контейнер для сброса.\n\n[i][c][A9A9A9][sup][b]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ:[/b]\nКолония заказала медь после стихийного бедствия, причинившего значительный ущерб.\nМедь понадобится для ремонта распределительной электросети колонии.[-][/c][/sup]",,,,,,,,
Eden_MiningContractColIce_Info,"\n[c][FFFFFF][b]REQUIRED ORE:[/b][-][/c]\n16,000 Ice Chunks\n\n[c][FFFFFF][b]REWARD:[/b][-][/c]\n$1,050,000\n\n[c][FFFFFF][b]CLIENT:[/b][-][/c]\n[c][4CA5FF]Free Colonists[-][/c]\n[c][FFFFFF][u]                                                         [/u][-][/c]\n\nBring this contract along with the required ore to any Polaris Orbital Refinery or a main faction Orbital Distribution Center.\nUIM will deliver to the client.\n\nThe contract must be in your personal inventory and the ore placed in a marked drop-off container to complete the contract.\n\n[i][c][A9A9A9][sup][b]ADDITIONAL INFORMATION:[/b]\nSeveral colonization efforts have banded together to mass buy ice for use in new colonization efforts.\nThe ice will be used to produce water, oxygen, and hydrogen to support the fledgling colonies until they can become sulf sufficient through on-site water extraction.[-][/c][/sup]",,,,,,,,"\n[c][FFFFFF][b]ТРЕБУЕМАЯ РУДА:[/b][-][/c]\n16 000 кусков льда\n\n[c][FFFFFF][b]НАГРАДА:[/b][-][/c]\n$1,050,000\n\n[c][FFFFFF][b]КЛИЕНТ:[/b][-][/c]\n[c][4CA5FF]Свободные колонисты[-][/c]\n[c][FFFFFF][u]                                                         [/u][-][/c]\n\nОтнесите этот контракт вместе с необходимой рудой на любой орбитальный нефтеперерабатывающий завод Полярис или в орбитальный распределительный центр основной фракции.\nUIM доставит клиенту.\n\nДля выполнения контракта контракт должен находиться в вашем личном инвентаре, а руда должна быть помещена в отмеченный контейнер для сброса.\n\n[i][c][A9A9A9][sup][b]ДОПОЛНИТЕЛЬНАЯ ИНФОРМАЦИЯ:[/b]\nНекоторые усилия по колонизации объединились, чтобы массово покупать лед для использования в новых усилиях по колонизации.\nЛед будет использоваться для производства воды, кислорода и водорода для поддержания молодых колоний до тех пор, пока они не станут достаточными для добычи серы за счет добычи воды на месте.[-][/c][/sup]",,,,,,,,
